DATE,SKEW
2020-01-21,132.700000
2020-01-22,129.930000
2020-01-23,131.760000
2020-01-24,127.020000
2020-01-27,127.210000
2020-01-28,125.610000
2020-01-29,125.150000
2020-01-30,129.950000
2020-01-31,135.730000
2020-02-03,127.700000
2020-02-04,128.650000
2020-02-05,129.780000
2020-02-06,134.480000
2020-02-07,132.210000
2020-02-10,133.290000
2020-02-11,132.950000
2020-02-12,133.200000
2020-02-13,133.040000
2020-02-14,132.670000
2020-02-18,137.660000
2020-02-19,141.810000
2020-02-20,137.120000
2020-02-21,135.140000
2020-02-24,130.480000
2020-02-25,130.790000
2020-02-26,130.650000
2020-02-27,128.930000
2020-02-28,130.820000
2020-03-02,126.840000
2020-03-03,123.060000
2020-03-04,127.380000
2020-03-05,123.610000
2020-03-06,126.080000
2020-03-09,121.570000
2020-03-10,121.380000
2020-03-11,121.720000
2020-03-12,115.790000
2020-03-13,132.370000
2020-03-16,114.660000
2020-03-17,116.670000
2020-03-18,113.540000
2020-03-19,115.440000
2020-03-20,118.120000
2020-03-23,117.050000
2020-03-24,117.750000
2020-03-25,116.600000
2020-03-26,118.970000
2020-03-27,117.410000
2020-03-30,122.180000
2020-03-31,125.490000
2020-04-01,115.480000
2020-04-02,118.430000
2020-04-03,120.570000
2020-04-06,121.010000
2020-04-07,118.480000
2020-04-08,119.300000
2020-04-09,120.850000
2020-04-13,119.600000
2020-04-14,122.330000
2020-04-15,122.420000
2020-04-16,122.330000
2020-04-17,126.430000
2020-04-20,125.340000
2020-04-21,123.710000
2020-04-22,126.190000
2020-04-23,125.220000
2020-04-24,126.510000
2020-04-27,129.290000
2020-04-28,129.230000
2020-04-29,132.600000
2020-04-30,130.380000
2020-05-01,129.970000
2020-05-04,131.290000
2020-05-05,128.260000
2020-05-06,128.590000
2020-05-07,130.670000
2020-05-08,132.210000
2020-05-11,129.100000
2020-05-12,125.970000
2020-05-13,123.430000
2020-05-14,124.350000
2020-05-15,124.470000
2020-05-18,129.230000
2020-05-19,127.480000
2020-05-20,125.950000
2020-05-21,124.530000
2020-05-22,125.780000
2020-05-26,129.110000
2020-05-27,129.960000
2020-05-28,130.780000
2020-05-29,131.720000
2020-06-01,132.090000
2020-06-02,132.610000
2020-06-03,131.500000
2020-06-04,130.770000
2020-06-05,129.870000
2020-06-08,129.110000
2020-06-09,124.930000
2020-06-10,127.740000
2020-06-11,131.290000
2020-06-12,133.540000
2020-06-15,137.330000
2020-06-16,133.850000
2020-06-17,135.490000
2020-06-18,134.900000
2020-06-19,125.380000
2020-06-22,135.540000
2020-06-23,135.200000
2020-06-24,134.050000
2020-06-25,131.920000
2020-06-26,137.470000
2020-06-29,135.750000
2020-06-30,148.270000
2020-07-01,142.440000
2020-07-02,146.340000
2020-07-06,140.980000
2020-07-07,138.340000
2020-07-08,144.460000
2020-07-09,138.840000
2020-07-10,135.680000
2020-07-13,128.520000
2020-07-14,131.100000
2020-07-15,146.530000
2020-07-16,142.440000
2020-07-17,140.810000
2020-07-20,145.900000
2020-07-21,134.840000
2020-07-22,140.390000
2020-07-23,140.740000
2020-07-24,139.400000
2020-07-27,139.610000
2020-07-28,139.640000
2020-07-29,140.860000
2020-07-30,138.990000
2020-07-31,141.560000
2020-08-03,141.770000
2020-08-04,141.640000
2020-08-05,139.590000
2020-08-06,141.750000
2020-08-07,139.750000
2020-08-10,137.500000
2020-08-11,136.390000
2020-08-12,137.010000
2020-08-13,136.110000
2020-08-14,136.820000
2020-08-17,137.450000
2020-08-18,138.080000
2020-08-19,138.200000
2020-08-20,144.050000
2020-08-21,146.730000
2020-08-24,147.230000
2020-08-25,146.530000
2020-08-26,142.090000
2020-08-27,145.070000
2020-08-28,145.730000
2020-08-31,144.670000
2020-09-01,142.280000
2020-09-02,141.100000
2020-09-03,144.660000
2020-09-04,133.280000
2020-09-08,132.510000
2020-09-09,133.200000
2020-09-10,130.160000
2020-09-11,125.420000
2020-09-14,130.950000
2020-09-15,132.950000
2020-09-16,136.060000
2020-09-17,139.410000
2020-09-18,132.090000
2020-09-21,130.640000
2020-09-22,130.080000
2020-09-23,129.840000
2020-09-24,129.170000
2020-09-25,129.260000
2020-09-28,126.690000
2020-09-29,123.930000
2020-09-30,120.940000
2020-10-01,117.780000
2020-10-02,119.120000
2020-10-05,119.530000
2020-10-06,120.050000
2020-10-07,120.600000
2020-10-08,121.810000
2020-10-09,121.930000
2020-10-12,123.940000
2020-10-13,122.540000
2020-10-14,122.600000
2020-10-15,123.470000
2020-10-16,123.700000
2020-10-19,124.750000
2020-10-20,125.310000
2020-10-21,124.380000
2020-10-22,124.940000
2020-10-23,126.700000
2020-10-26,126.050000
2020-10-27,127.580000
2020-10-28,129.300000
2020-10-29,128.050000
2020-10-30,129.010000
2020-11-02,133.860000
2020-11-03,136.440000
2020-11-04,133.320000
2020-11-05,127.650000
2020-11-06,124.560000
2020-11-09,127.410000
2020-11-10,126.300000
2020-11-11,129.470000
2020-11-12,131.420000
2020-11-13,129.330000
2020-11-16,129.560000
2020-11-17,128.910000
2020-11-18,133.590000
2020-11-19,133.550000
2020-11-20,133.540000
2020-11-23,134.260000
2020-11-24,134.190000
2020-11-25,133.900000
2020-11-27,132.430000
2020-11-30,133.950000
2020-12-01,132.600000
2020-12-02,134.610000
2020-12-03,132.460000
2020-12-04,133.080000
2020-12-07,132.440000
2020-12-08,134.900000
2020-12-09,135.750000
2020-12-10,135.710000
2020-12-11,139.920000
2020-12-14,139.290000
2020-12-15,138.950000
2020-12-16,144.790000
2020-12-17,147.070000
2020-12-18,147.020000
2020-12-21,146.530000
2020-12-22,146.270000
2020-12-23,147.390000
2020-12-24,148.270000
2020-12-28,145.300000
2020-12-29,142.740000
2020-12-30,143.030000
2020-12-31,147.830000
2021-01-04,143.840000
2021-01-05,145.500000
2021-01-06,147.060000
2021-01-07,145.920000
2021-01-08,139.250000
2021-01-11,134.700000
2021-01-12,139.990000
2021-01-13,139.930000
2021-01-14,138.060000
2021-01-15,136.700000
2021-01-19,141.320000
2021-01-20,146.660000
2021-01-21,144.200000
2021-01-22,145.550000
2021-01-25,145.560000
2021-01-26,143.310000
2021-01-27,137.930000
2021-01-28,145.840000
2021-01-29,134.300000
2021-02-01,141.630000
2021-02-02,141.150000
2021-02-03,136.590000
2021-02-04,136.010000
2021-02-05,135.090000
2021-02-08,136.650000
2021-02-09,140.060000
2021-02-10,139.330000
2021-02-11,137.600000
2021-02-12,137.660000
2021-02-16,140.170000
2021-02-17,144.450000
2021-02-18,142.550000
2021-02-19,141.530000
2021-02-22,138.820000
2021-02-23,136.640000
2021-02-24,138.520000
2021-02-25,142.070000
2021-02-26,136.230000
2021-03-01,141.330000
2021-03-02,141.680000
2021-03-03,140.530000
2021-03-04,137.190000
2021-03-05,135.900000
2021-03-08,137.010000
2021-03-09,134.450000
2021-03-10,138.570000
2021-03-11,139.610000
2021-03-12,140.290000
2021-03-15,141.260000
2021-03-16,142.560000
2021-03-17,143.190000
2021-03-18,148.110000
2021-03-19,141.470000
2021-03-22,146.140000
2021-03-23,143.440000
2021-03-24,143.700000
2021-03-25,140.860000
2021-03-26,145.460000
2021-03-29,143.670000
2021-03-30,142.200000
2021-03-31,140.930000
2021-04-01,136.290000
2021-04-05,139.630000
2021-04-06,142.440000
2021-04-07,140.600000
2021-04-08,139.040000
2021-04-09,132.880000
2021-04-12,134.290000
2021-04-13,134.720000
2021-04-14,137.670000
2021-04-15,139.290000
2021-04-16,138.330000
2021-04-19,137.150000
2021-04-20,134.870000
2021-04-21,139.430000
2021-04-22,138.090000
2021-04-23,140.090000
2021-04-26,139.090000
2021-04-27,139.130000
2021-04-28,139.370000
2021-04-29,139.300000
2021-04-30,146.320000
2021-05-03,143.750000
2021-05-04,139.230000
2021-05-05,142.120000
2021-05-06,144.470000
2021-05-07,145.760000
2021-05-10,142.720000
2021-05-11,140.120000
2021-05-12,142.600000
2021-05-13,139.260000
2021-05-14,139.050000
2021-05-17,138.350000
2021-05-18,139.460000
2021-05-19,143.750000
2021-05-20,142.960000
2021-05-21,144.510000
2021-05-24,144.640000
2021-05-25,144.600000
2021-05-26,149.820000
2021-05-27,149.350000
2021-05-28,155.310000
2021-06-01,149.040000
2021-06-02,148.590000
2021-06-03,145.210000
2021-06-04,147.760000
2021-06-07,151.290000
2021-06-08,150.700000
2021-06-09,150.710000
2021-06-10,154.810000
2021-06-11,159.280000
2021-06-14,160.640000
2021-06-15,161.350000
2021-06-16,155.970000
2021-06-17,161.010000
2021-06-18,150.780000
2021-06-21,158.360000
2021-06-22,160.510000
2021-06-23,154.850000
2021-06-24,161.040000
2021-06-25,170.550000
2021-06-28,162.090000
2021-06-29,163.840000
2021-06-30,161.850000
2021-07-01,155.650000
2021-07-02,157.940000
2021-07-06,153.750000
2021-07-07,152.150000
2021-07-08,152.820000
2021-07-09,155.700000
2021-07-12,157.930000
2021-07-13,154.400000
2021-07-14,154.310000
2021-07-15,154.150000
2021-07-16,151.940000
2021-07-19,155.740000
2021-07-20,154.500000
2021-07-21,155.340000
2021-07-22,152.630000
2021-07-23,159.440000
2021-07-26,153.200000
2021-07-27,151.040000
2021-07-28,152.230000
2021-07-29,149.960000
2021-07-30,153.710000
2021-08-02,153.300000
2021-08-03,152.560000
2021-08-04,151.400000
2021-08-05,150.260000
2021-08-06,150.960000
